Field of study,All full-time employed,4-year educational institution,Other educational institution,"Private, for profit","Private, nonprofit",Federal government,State or local government,Self-employed,Other
All fields,110000,90000,71000,137000,114000,120000,90000,99000,124000
Science,104000,88000,71000,135000,109000,118000,86000,100000,124000
"Biological, agricultural, and environmental life sciences",100000,84000,69000,130000,105000,110000,79000,99000,89000
Agricultural and food sciences,106000,94000,88000,125000,100000,115000,79000,89000,65000
Biochemistry and biophysics,109000,82000,57000,129000,131000,114000,108000,68000,D
"Cell, cellular biology, and molecular biology",101000,82000,70000,132000,102000,120000,60000,S,D
Microbiological sciences and immunology,105000,80000,75000,132000,109000,109000,80000,S,D
Natural resources and conservation,91000,82000,70000,117000,105000,109000,71000,47000,121000
Zoology,98000,89000,70000,130000,102000,100000,73000,S,D
Other biological sciences,100000,82000,67000,135000,100000,109000,80000,118000,66000
Computer and information sciences,139000,104000,70000,152000,131000,145000,60000,112000,150000
Mathematics and statistics,108000,90000,67000,149000,142000,131000,116000,79000,148000
"Physical sciences, geosciences, atmospheric, and ocean sciences",114000,86000,69000,135000,120000,125000,86000,109000,120000
Astronomy and astrophysics,104000,87000,69000,142000,118000,147000,D,D,104000
"Chemistry, except biochemistry",110000,79000,69000,130000,119000,123000,87000,111000,109000
"Geosciences, atmospheric, and ocean sciences",102000,90000,68000,144000,104000,120000,84000,S,110000
Physics,121000,95000,63000,141000,130000,129000,S,108000,148000
Psychology,98000,87000,81000,116000,96000,109000,100000,100000,98000
Social sciences,99000,90000,72000,143000,120000,130000,80000,96000,148000
Economics,135000,114000,72000,167000,152000,146000,86000,S,174000
Political science and government,95000,89000,74000,120000,129000,122000,79000,S,120000
"Sociology, demography, and population studies",87000,82000,67000,121000,100000,120000,91000,87000,126000
Other social sciences,85000,80000,73000,116000,90000,119000,75000,78000,91000
Engineering,129000,100000,60000,140000,130000,129000,98000,98000,129000
"Aerospace, aeronautical, and astronautical engineering",135000,101000,D,148000,127000,140000,D,D,D
Chemical engineering,129000,99000,53000,140000,143000,130000,97000,D,102000
Civil engineering,110000,99000,55000,120000,101000,123000,92000,138000,S
Electrical and computer engineering,140000,106000,65000,149000,150000,128000,102000,S,137000
Mechanical engineering,120000,100000,D,130000,116000,127000,D,D,145000
Metallurgical and materials engineering,124000,93000,D,130000,120000,124000,D,S,S
Other engineering,123000,100000,70000,134000,125000,129000,112000,115000,99000
Health,104000,91000,84000,140000,134000,119000,108000,S,96000
